,data_set,precision,p_iqr,recall,r_iqr,f1-score,f_iqr,accuracy,a_iqr
0,LibPNG_org_,0.9198717948717949,0.0444444444444444,1.0,0.0,0.9582608695652174,0.02406015037593978,0.9946524064171124,0.005347593582887833
1,Pidgin_org_,1.0,0.0,0.8,0.125,0.888888888888889,0.07619047619047614,0.9994224104736233,0.0003850596842508436
2,LibTIFF_org_,0.717391304347826,0.07071665875652589,0.9374389051808407,0.03945480631276921,0.8070917846198744,0.04635870458655278,0.9377431906614786,0.015564202334630073
3,FFmpeg_org_,0.9720266040688577,0.02491554054054057,0.8644336785833612,0.05021367521367526,0.9181633688483002,0.0289152131331033,0.9933946008041354,0.0022975301550833827
4,VLC_org_,1.0,0.0625,0.8,0.09615384615384615,0.88,0.06580086580086586,0.9983766233766234,0.0010822510822507958
5,Asterisk_org_,0.9615384615384616,0.050000000000000044,0.845,0.07804232804232814,0.8968085106382979,0.05923961096374897,0.9990662931839402,0.00037348272642379055
