,data_set,precision,p_iqr,recall,r_iqr,f1-score,f_iqr,accuracy,a_iqr
0,LibPNG_org_,1.0,0.06666666666666676,1.0,0.0,1.0,0.03448275862068961,1.0,0.005347593582887611
1,Pidgin_org_,1.0,0.0,0.8888888888888888,0.19999999999999996,0.9411764705882352,0.11111111111111116,0.9996149403157488,0.0007701193685020202
2,LibTIFF_org_,0.7947368421052632,0.05580693815987936,0.9166023166023167,0.06501547987616108,0.8606123049749779,0.04022988505747138,0.9571984435797666,0.015564202334630517
3,FFmpeg_org_,0.9160798122065728,0.02941176470588236,0.9142682180036742,0.05017605633802813,0.9109212934716291,0.026490066225165587,0.9925330269959792,0.001723147616312426
4,VLC_org_,0.9722222222222222,0.07692307692307676,0.9230769230769232,0.1428571428571429,0.9428571428571428,0.04867724867724865,0.9991883116883116,0.0010822510822510178
5,Asterisk_org_,0.8982758620689655,0.07738095238095244,0.8973684210526316,0.0688172043010753,0.9009803921568629,0.0479076479076479,0.9989729225023343,0.00037348272642390157
