,precision,recall,f1-score,accuracy
0,0.9285714285714286,1.0,0.962962962962963,0.9994588744588745
1,0.9230769230769231,1.0,0.9600000000000001,0.9994588744588745
2,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0
4,0.9090909090909091,1.0,0.9523809523809523,0.9994588744588745
5,0.9090909090909091,1.0,0.9523809523809523,0.9994588744588745
6,0.9411764705882353,0.8888888888888888,0.9142857142857143,0.9983766233766234
7,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9978354978354979
8,1.0,0.875,0.9333333333333333,0.9989177489177489
9,1.0,0.6666666666666666,0.8,0.9972943722943723
10,1.0,0.8,0.888888888888889,0.9989177489177489
11,0.8666666666666667,1.0,0.9285714285714286,0.9989177489177489
12,0.9411764705882353,0.8888888888888888,0.9142857142857143,0.9983766233766234
13,1.0,0.8571428571428571,0.923076923076923,0.9989177489177489
14,0.9375,1.0,0.967741935483871,0.9994588744588745
15,1.0,1.0,1.0,1.0
16,1.0,0.9375,0.967741935483871,0.9994588744588745
17,1.0,0.9230769230769231,0.9600000000000001,0.9994588744588745
18,0.9166666666666666,0.8461538461538461,0.8799999999999999,0.9983766233766234
19,1.0,0.8333333333333334,0.9090909090909091,0.9983766233766234
20,0.8947368421052632,0.9444444444444444,0.918918918918919,0.9983766233766234
21,0.9444444444444444,0.85,0.8947368421052632,0.9978354978354979
22,1.0,1.0,1.0,1.0
23,0.9285714285714286,1.0,0.962962962962963,0.9994588744588745
24,1.0,0.9166666666666666,0.9565217391304348,0.9994588744588745
25,1.0,0.9090909090909091,0.9523809523809523,0.9994588744588745
26,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9989177489177489
27,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9989177489177489
28,1.0,0.8181818181818182,0.9,0.9989177489177489
29,1.0,0.9333333333333333,0.9655172413793104,0.9994588744588745
