,precision,recall,f1-score,accuracy
0,0.8478260869565217,0.9285714285714286,0.8863636363636365,0.9610894941634242
1,0.8,0.9473684210526315,0.8674698795180723,0.9571984435797666
2,0.7555555555555555,1.0,0.8607594936708861,0.9571984435797666
3,0.8205128205128205,0.9142857142857143,0.8648648648648648,0.9610894941634242
4,0.8095238095238095,0.918918918918919,0.860759493670886,0.9571984435797666
5,0.8035714285714286,0.9782608695652174,0.8823529411764706,0.953307392996109
6,0.7872340425531915,1.0,0.880952380952381,0.9610894941634242
7,0.8611111111111112,0.8857142857142857,0.8732394366197184,0.9649805447470817
8,0.7872340425531915,1.0,0.880952380952381,0.9610894941634242
9,0.7333333333333333,0.9428571428571428,0.8250000000000001,0.9455252918287937
10,0.8043478260869565,0.925,0.8604651162790697,0.953307392996109
11,0.8,0.972972972972973,0.8780487804878049,0.9610894941634242
12,0.7647058823529411,0.8863636363636364,0.8210526315789474,0.933852140077821
13,0.6888888888888889,0.9393939393939394,0.7948717948717948,0.9377431906614786
14,0.7272727272727273,0.8648648648648649,0.7901234567901235,0.933852140077821
15,0.7446808510638298,0.8536585365853658,0.7954545454545454,0.9299610894941635
16,0.7894736842105263,0.8823529411764706,0.8333333333333333,0.953307392996109
17,0.7659574468085106,0.9230769230769231,0.8372093023255814,0.9455252918287937
18,0.7777777777777778,0.8974358974358975,0.8333333333333333,0.9455252918287937
19,0.7872340425531915,0.9024390243902439,0.8409090909090909,0.9455252918287937
20,0.8571428571428571,0.8823529411764706,0.8695652173913043,0.9649805447470817
21,0.8367346938775511,0.9111111111111111,0.8723404255319148,0.953307392996109
22,0.8108108108108109,0.8823529411764706,0.8450704225352113,0.9571984435797666
23,0.8085106382978723,0.95,0.8735632183908046,0.9571984435797666
24,0.8285714285714286,0.8787878787878788,0.8529411764705883,0.9610894941634242
25,0.7878787878787878,0.9285714285714286,0.8524590163934426,0.9649805447470817
26,0.851063829787234,0.9523809523809523,0.898876404494382,0.9649805447470817
27,0.7352941176470589,0.8333333333333334,0.78125,0.9455252918287937
28,0.9117647058823529,0.9117647058823529,0.9117647058823528,0.9766536964980544
29,0.7380952380952381,0.8611111111111112,0.7948717948717949,0.9377431906614786
