,data_set,precision,p_iqr,recall,r_iqr,f1-score,f_iqr,accuracy,a_iqr
0,LibPNG_org_,1.0,0.06666666666666676,1.0,0.0,1.0,0.03448275862068961,1.0,0.005347593582887611
1,LibTIFF_org_,0.8963480128893663,0.06617647058823517,0.8933143669985775,0.07135306553911203,0.8964791427477995,0.03796653796653804,0.9727626459143968,0.011673151750972832
2,FFmpeg_org_,0.911172161172161,0.04032809295967188,0.9096736596736597,0.03258426966292116,0.9135670731707317,0.024018629407851155,0.9922458357265938,0.001723147616312537
3,VLC_org_,0.9230769230769232,0.1428571428571429,0.9083333333333333,0.0803571428571429,0.923076923076923,0.06117647058823528,0.9989177489177488,0.0010822510822510178
