,precision,recall,f1-score,accuracy
0,0.8888888888888888,0.7272727272727273,0.7999999999999999,0.9978354978354979
1,1.0,0.8571428571428571,0.923076923076923,0.9989177489177489
2,1.0,0.8333333333333334,0.9090909090909091,0.9989177489177489
3,1.0,0.7692307692307693,0.8695652173913044,0.9983766233766234
4,1.0,0.8,0.888888888888889,0.9989177489177489
5,1.0,0.6666666666666666,0.8,0.9972943722943723
6,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9989177489177489
7,1.0,0.9285714285714286,0.962962962962963,0.9994588744588745
8,0.9411764705882353,0.8888888888888888,0.9142857142857143,0.9983766233766234
9,1.0,0.8571428571428571,0.923076923076923,0.9989177489177489
10,1.0,0.8333333333333334,0.9090909090909091,0.9989177489177489
11,1.0,0.8666666666666667,0.9285714285714286,0.9989177489177489
12,1.0,0.7857142857142857,0.88,0.9983766233766234
13,1.0,0.9090909090909091,0.9523809523809523,0.9994588744588745
14,1.0,0.9166666666666666,0.9565217391304348,0.9994588744588745
15,0.8666666666666667,0.6842105263157895,0.7647058823529413,0.9956709956709957
16,1.0,0.8823529411764706,0.9375,0.9989177489177489
17,1.0,0.8333333333333334,0.9090909090909091,0.9983766233766234
18,1.0,0.75,0.8571428571428571,0.9983766233766234
19,1.0,0.6666666666666666,0.8,0.9972943722943723
20,1.0,0.8,0.888888888888889,0.9989177489177489
21,0.8666666666666667,0.9285714285714286,0.896551724137931,0.9983766233766234
22,0.9375,0.9375,0.9375,0.9989177489177489
23,1.0,1.0,1.0,1.0
24,0.9,0.9,0.9,0.9989177489177489
25,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.9978354978354979
26,1.0,0.6875,0.8148148148148148,0.9972943722943723
27,0.8823529411764706,0.9375,0.9090909090909091,0.9983766233766234
28,1.0,0.8333333333333334,0.9090909090909091,0.9989177489177489
29,1.0,0.8,0.888888888888889,0.9989177489177489
