,precision,recall,f1-score,accuracy
0,1.0,0.5,0.6666666666666666,0.9967532467532467
1,0.5,0.36363636363636365,0.4210526315789474,0.9940476190476191
2,0.9090909090909091,0.5882352941176471,0.7142857142857143,0.9956709956709957
3,1.0,0.4,0.5714285714285715,0.9951298701298701
4,1.0,0.5454545454545454,0.7058823529411764,0.9972943722943723
5,1.0,0.5,0.6666666666666666,0.9978354978354979
6,0.9,0.5294117647058824,0.6666666666666667,0.9951298701298701
7,0.6666666666666666,0.15384615384615385,0.25,0.9935064935064936
8,0.8888888888888888,0.6153846153846154,0.7272727272727274,0.9967532467532467
9,0.8888888888888888,0.8,0.8421052631578948,0.9983766233766234
10,1.0,0.125,0.2222222222222222,0.9962121212121212
11,0.75,0.5454545454545454,0.631578947368421,0.9962121212121212
12,0.8333333333333334,0.5555555555555556,0.6666666666666667,0.9972943722943723
13,0.8181818181818182,0.6428571428571429,0.7200000000000001,0.9962121212121212
14,0.8571428571428571,0.5454545454545454,0.6666666666666665,0.9967532467532467
15,0.8888888888888888,0.6153846153846154,0.7272727272727274,0.9967532467532467
16,1.0,0.6363636363636364,0.7777777777777778,0.9978354978354979
17,1.0,0.46153846153846156,0.631578947368421,0.9962121212121212
18,1.0,0.42857142857142855,0.6,0.9935064935064936
19,0.8,0.25,0.38095238095238093,0.9929653679653679
20,1.0,0.6875,0.8148148148148148,0.9972943722943723
21,0.875,0.7,0.7777777777777777,0.9978354978354979
22,1.0,0.6,0.7499999999999999,0.9978354978354979
23,1.0,0.5454545454545454,0.7058823529411764,0.9972943722943723
24,1.0,0.6,0.7499999999999999,0.9967532467532467
25,1.0,0.46153846153846156,0.631578947368421,0.9962121212121212
26,0.9166666666666666,0.6111111111111112,0.7333333333333334,0.9956709956709957
27,0.6666666666666666,0.5,0.5714285714285715,0.9967532467532467
28,0.8888888888888888,0.36363636363636365,0.5161290322580644,0.9918831168831169
29,0.8571428571428571,0.6,0.7058823529411764,0.9972943722943723
