,epoch,train_loss,valid_loss
0,0,4.948319613933563,0.8989932835102081
1,1,3.852243721485138,0.8239093571901321
2,2,3.3046018481254578,0.726200595498085
3,3,2.666600078344345,0.6789984107017517
4,4,2.0054710060358047,0.6651533246040344
5,5,1.615398645401001,0.42016781121492386
6,6,1.5603815838694572,0.386084221303463
7,7,1.4531699530780315,0.38701721280813217
8,8,1.3049374409019947,0.35231317579746246
9,9,1.1712338328361511,0.31213274225592613
10,10,1.1314393505454063,0.3262489289045334
11,11,1.0445052087306976,0.29683009535074234
12,12,1.0348733812570572,0.3278023451566696
13,13,0.989619541913271,0.3538173735141754
14,14,0.9442048855125904,0.3362618051469326
15,15,0.8840627372264862,0.2659852169454098
16,16,0.8177742250263691,0.3679608404636383
17,17,0.8403578884899616,0.4115096926689148
18,18,0.7753515355288982,0.4350130185484886
19,19,0.7440983634442091,0.2712433226406574
20,20,0.6445708684623241,0.24331986904144287
21,21,0.5924947783350945,0.35529662668704987
22,22,0.5461087971925735,0.24901166558265686
23,23,0.48595104925334454,0.2860856354236603
24,24,0.478508273139596,0.2096429541707039
25,25,0.4638889180496335,0.315823957324028
26,26,0.43774398416280746,0.21925392374396324
27,27,0.39084313437342644,0.3533250540494919
28,28,0.38677216600626707,0.256490807980299
29,29,0.3599357083439827,0.2218967340886593
30,30,0.34262785501778126,0.3652905002236366
31,31,0.3981676227413118,0.4425128549337387
32,32,0.4293952891603112,0.21263761073350906
33,33,0.3377128057181835,0.2171265073120594
34,34,0.32978594209998846,0.25683945789933205
35,35,0.32123709563165903,0.23625918850302696
36,36,0.30045235995203257,0.21287572383880615
37,37,0.27706919610500336,0.25973644107580185
38,38,0.27087073121219873,0.20942803472280502
39,39,0.24432270787656307,0.28401583433151245
40,40,0.2664688266813755,0.3717885762453079
41,41,0.254301646258682,0.33524684607982635
42,42,0.27436426654458046,0.27571762166917324
43,43,0.2950756559148431,0.3078791666775942
44,44,0.2193941017612815,0.20476249977946281
45,45,0.22546010534279048,0.20713519304990768
46,46,0.2110719559714198,0.22093306481838226
47,47,0.2255051052197814,0.237404128536582
48,48,0.3907333221286535,0.19604884274303913
49,49,0.2533002430573106,0.2726624757051468
50,50,0.22964669857174158,0.19872775115072727
51,51,0.2655640225857496,0.2737145498394966
52,52,0.22495116875506938,0.22624129801988602
53,53,0.18068961333483458,0.1869588941335678
54,54,0.192244861042127,0.2265084907412529
55,55,0.19904787628911436,0.1509498367086053
56,56,0.2004146792460233,0.14924616366624832
57,57,0.18311691819690168,0.1830818373709917
58,58,0.20295471604913473,0.2647190382704139
59,59,0.20643656770698726,0.1797099970281124
