,precision,recall,f1-score,accuracy
0,1.0,0.8571428571428571,0.923076923076923,0.9989177489177489
1,1.0,0.9285714285714286,0.962962962962963,0.9994588744588745
2,0.8666666666666667,0.9285714285714286,0.896551724137931,0.9983766233766234
3,0.9333333333333333,0.875,0.9032258064516129,0.9983766233766234
4,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9989177489177489
5,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9989177489177489
6,0.875,1.0,0.9333333333333333,0.9989177489177489
7,0.8666666666666667,1.0,0.9285714285714286,0.9989177489177489
8,0.9130434782608695,0.9545454545454546,0.9333333333333332,0.9983766233766234
9,0.9230769230769231,1.0,0.9600000000000001,0.9994588744588745
10,1.0,0.8666666666666667,0.9285714285714286,0.9989177489177489
11,1.0,1.0,1.0,1.0
12,0.9,1.0,0.9473684210526316,0.9994588744588745
13,1.0,1.0,1.0,1.0
14,1.0,0.875,0.9333333333333333,0.9989177489177489
15,0.8888888888888888,0.8,0.8421052631578948,0.9983766233766234
16,0.75,0.6,0.6666666666666665,0.9983766233766234
17,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9989177489177489
18,1.0,1.0,1.0,1.0
19,1.0,0.6428571428571429,0.782608695652174,0.9972943722943723
20,1.0,0.4,0.5714285714285715,0.9983766233766234
21,1.0,1.0,1.0,1.0
22,1.0,0.7058823529411765,0.8275862068965517,0.9972943722943723
23,1.0,0.9,0.9473684210526316,0.9994588744588745
24,1.0,1.0,1.0,1.0
25,1.0,0.9166666666666666,0.9565217391304348,0.9994588744588745
26,0.8235294117647058,0.9333333333333333,0.8749999999999999,0.9978354978354979
27,1.0,0.6666666666666666,0.8,0.9983766233766234
28,0.9,0.9,0.9,0.9989177489177489
29,1.0,0.8181818181818182,0.9,0.9989177489177489
