,data_set,precision,p_iqr,recall,r_iqr,f1-score,f_iqr,accuracy,a_iqr
0,LibPNG_org_,1.0,0.0625,1.0,0.0,1.0,0.032258064516129004,1.0,0.005347593582887611
1,Pidgin_org_,0.9128787878787878,0.125,0.8090909090909091,0.20909090909090922,0.8660714285714286,0.12307692307692297,0.999229880631498,0.0011551790527531969
2,LibTIFF_org_,0.8371212121212122,0.05998681608437706,0.9116883116883118,0.053030303030303094,0.8705882352941177,0.02457757296466967,0.9591439688715954,0.01167315175097261
3,FFmpeg_org_,0.9290458937198067,0.034946236559139754,0.8742088607594937,0.05555555555555558,0.9048433048433048,0.031580674267902564,0.9922458357265938,0.003446295232624852
4,VLC_org_,0.9166666666666666,0.09523809523809523,0.7817460317460317,0.15909090909090917,0.8424317617866005,0.12222222222222223,0.997835497835498,0.0016233766233763047
5,Asterisk_org_,0.9023809523809524,0.08498023715415026,0.8418749999999999,0.05561735261401557,0.874119718309859,0.05017921146953408,0.9985994397759104,0.0007469654528478031
