,epoch,train_loss,valid_loss
0,0,5.6821164190769196,1.009804904460907
1,1,4.105346515774727,0.8685842305421829
2,2,3.6661514043807983,0.7717523872852325
3,3,2.971986398100853,0.5976939052343369
4,4,1.9719915837049484,0.4005802050232887
5,5,1.4217599742114544,0.3044120669364929
6,6,1.2076320350170135,0.26862309128046036
7,7,1.1109751462936401,0.2580169029533863
8,8,1.0312616042792797,0.2302296794950962
9,9,0.9964572489261627,0.25053442269563675
10,10,0.9338762871921062,0.21717482432723045
11,11,0.8864515051245689,0.2273479402065277
12,12,0.8413916230201721,0.2108081430196762
13,13,0.8176465220749378,0.2248954325914383
14,14,0.7845583036541939,0.19540899619460106
15,15,0.7195110134780407,0.19850723817944527
16,16,0.6859738472849131,0.18210862949490547
17,17,0.6333517394959927,0.18190490454435349
18,18,0.6138066053390503,0.1980545036494732
19,19,0.5920567214488983,0.18998009338974953
20,20,0.5809986144304276,0.19633516296744347
21,21,0.5884245671331882,0.18438467755913734
22,22,0.5967016704380512,0.15111214481294155
23,23,0.5372517537325621,0.17387229949235916
24,24,0.5046613067388535,0.1314469389617443
25,25,0.43258048966526985,0.12826315872371197
26,26,0.39776437263935804,0.15344715118408203
27,27,0.3700328515842557,0.1532396748661995
28,28,0.4140146616846323,0.12862873449921608
29,29,0.3225450711324811,0.13487068563699722
30,30,0.3093206537887454,0.13727851584553719
31,31,0.2924663042649627,0.12169405445456505
32,32,0.2900972403585911,0.1133613046258688
33,33,0.26759994868189096,0.12033483944833279
34,34,0.2464927383698523,0.12415257468819618
35,35,0.24385306937620044,0.13040132261812687
36,36,0.26094906218349934,0.12017791159451008
37,37,0.21362285036593676,0.12131228856742382
38,38,0.2085136231034994,0.1257427465170622
39,39,0.20847459370270371,0.12275954708456993
40,40,0.19592223316431046,0.13446401245892048
41,41,0.20316573977470398,0.13455414772033691
42,42,0.1949521522037685,0.1206170804798603
43,43,0.18466536002233624,0.125485947355628
44,44,0.18687739875167608,0.1203434057533741
45,45,0.18482603784650564,0.11635681800544262
46,46,0.16795390425249934,0.11434181593358517
47,47,0.17062303610146046,0.12532033026218414
48,48,0.16770135005936027,0.10788948833942413
49,49,0.17919605132192373,0.1024451982229948
50,50,0.1618581865914166,0.11631289683282375
51,51,0.16129263606853783,0.1204842608422041
52,52,0.1414166244212538,0.11746722552925348
53,53,0.16991192661225796,0.12102107610553503
54,54,0.16491776565089822,0.11246689222753048
55,55,0.17466358514502645,0.12927496153861284
56,56,0.1552958192769438,0.13042373768985271
57,57,0.12839408952277154,0.12861966155469418
58,58,0.1936623682267964,0.1470977310091257
59,59,0.1956134287174791,0.1147624384611845
