,epoch,train_loss,valid_loss
0,0,3.6915420964360237,0.5012404024600983
1,1,2.060294449329376,0.3935175836086273
2,2,1.3263870421797037,0.311525609344244
3,3,0.7514667697250843,0.2205515392124653
4,4,0.6128349932841957,0.23536544665694237
5,5,0.5230154199525714,0.14603430405259132
6,6,0.4070415496826172,0.10954752191901207
7,7,0.3164089037454687,0.1273495815694332
8,8,0.27637364307884127,0.1020093522965908
9,9,0.2298029495868832,0.08648892119526863
10,10,0.22268129140138626,0.1330980770289898
11,11,0.23304150183685124,0.10240599606186152
12,12,0.18417145311832428,0.08873981516808271
13,13,0.16392815811559558,0.06540870666503906
14,14,0.26195111009292305,0.07364890584722161
15,15,0.2513452194398269,0.06336728623136878
16,16,0.1868696481687948,0.12219652906060219
17,17,0.11371357398456894,0.08603642461821437
18,18,0.17813337084953673,0.09792496729642153
19,19,0.12754882434455794,0.10374074429273605
20,20,0.10040498856687918,0.09785972442477942
21,21,0.0748318609839771,0.08323535259114578
22,22,0.12816419064984075,0.09335166914388537
23,23,0.10062721653957851,0.05620536580681801
24,24,0.09237736448994838,0.08665037201717496
25,25,0.10918151453370228,0.07180532719939947
26,26,0.082782005527406,0.0786938585806638
27,27,0.10932792267703917,0.07889415696263313
28,28,0.059103558291099034,0.098235999699682
29,29,0.06090891007625032,0.10168910393258557
30,30,0.08997998136328533,0.0914705228060484
31,31,0.09593025625508744,0.10335774160921574
32,32,0.06793299703167577,0.1285523483529687
33,33,0.1135357748134993,0.10497921798378229
34,34,0.06213876933179563,0.12500862777233124
35,35,0.04608031469069829,0.10279748309403658
36,36,0.02572090345711331,0.12479164684191346
37,37,0.04853091050836156,0.10294699016958475
38,38,0.044192458770339726,0.09447093959897757
39,39,0.03285284534103994,0.09091307874768972
40,40,0.016205216579692205,0.11016902793198824
41,41,0.07271998576834449,0.11158422008156776
42,42,0.07766665243252646,0.0997920110821724
43,43,0.057948532288719434,0.10654290579259396
44,44,0.07605612557381392,0.12395793106406927
45,45,0.04858669442728569,0.0881454311311245
46,46,0.02816240476386156,0.09382010344415903
47,47,0.02518610456991155,0.10144748957827687
48,48,0.02573718486337384,0.13243470899760723
49,49,0.028144249997239967,0.10885996674187481
50,50,0.07380616237060167,0.14677842520177364
51,51,0.19037078565452248,0.12313719652593136
52,52,0.1501304843404796,0.11023671645671129
53,53,0.12101564920158125,0.11313191941007972
54,54,0.0753328453283757,0.08420467935502529
55,55,0.04295166893280111,0.07561140693724155
56,56,0.053532221149907855,0.04476417135447264
57,57,0.033378456127138634,0.0975403394550085
58,58,0.03270310709467594,0.09798049926757812
59,59,0.032033526340455865,0.10906794993206859
