,precision,recall,f1-score,accuracy
0,1.0,0.6666666666666666,0.8,0.9996149403157489
1,1.0,0.8333333333333334,0.9090909090909091,0.9996149403157489
2,1.0,0.7142857142857143,0.8333333333333333,0.9992298806314979
3,1.0,0.8,0.888888888888889,0.9992298806314979
4,1.0,0.8181818181818182,0.9,0.9992298806314979
5,1.0,0.875,0.9333333333333333,0.9996149403157489
6,1.0,0.8333333333333334,0.9090909090909091,0.9992298806314979
7,1.0,0.9,0.9473684210526316,0.9996149403157489
8,1.0,0.75,0.8571428571428571,0.9988448209472468
9,1.0,1.0,1.0,1.0
10,1.0,0.75,0.8571428571428571,0.9996149403157489
11,1.0,0.9,0.9473684210526316,0.9996149403157489
12,1.0,0.625,0.7692307692307693,0.9988448209472468
13,1.0,0.8,0.888888888888889,0.9996149403157489
14,1.0,0.7142857142857143,0.8333333333333333,0.9992298806314979
15,1.0,0.8181818181818182,0.9,0.9992298806314979
16,1.0,0.8571428571428571,0.923076923076923,0.9996149403157489
17,1.0,0.9285714285714286,0.962962962962963,0.9996149403157489
18,1.0,0.875,0.9333333333333333,0.9996149403157489
19,1.0,0.75,0.8571428571428571,0.9996149403157489
20,1.0,0.6666666666666666,0.8,0.9988448209472468
21,1.0,0.7777777777777778,0.8750000000000001,0.9992298806314979
22,1.0,0.5,0.6666666666666666,0.9992298806314979
23,1.0,0.875,0.9333333333333333,0.9996149403157489
24,1.0,0.6666666666666666,0.8,0.9988448209472468
25,1.0,0.75,0.8571428571428571,0.9988448209472468
26,1.0,0.8,0.888888888888889,0.9992298806314979
27,1.0,1.0,1.0,1.0
28,1.0,0.75,0.8571428571428571,0.9988448209472468
29,1.0,0.8333333333333334,0.9090909090909091,0.9996149403157489
