,precision,recall,f1-score,accuracy
0,1.0,0.7272727272727273,0.8421052631578948,0.9983766233766234
1,1.0,0.9230769230769231,0.9600000000000001,0.9994588744588745
2,1.0,0.75,0.8571428571428571,0.9978354978354979
3,1.0,0.8,0.888888888888889,0.9989177489177489
4,1.0,0.75,0.8571428571428571,0.9983766233766234
5,1.0,0.6923076923076923,0.8181818181818181,0.9978354978354979
6,0.8888888888888888,1.0,0.9411764705882353,0.9994588744588745
7,0.9090909090909091,0.7692307692307693,0.8333333333333333,0.9978354978354979
8,1.0,0.8,0.888888888888889,0.9989177489177489
9,1.0,0.9230769230769231,0.9600000000000001,0.9994588744588745
10,1.0,0.9090909090909091,0.9523809523809523,0.9994588744588745
11,1.0,0.7857142857142857,0.88,0.9983766233766234
12,1.0,0.75,0.8571428571428571,0.9983766233766234
13,0.9473684210526315,0.782608695652174,0.8571428571428571,0.9967532467532467
14,1.0,0.9285714285714286,0.962962962962963,0.9994588744588745
15,1.0,0.7142857142857143,0.8333333333333333,0.9978354978354979
16,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.9978354978354979
17,1.0,1.0,1.0,1.0
18,1.0,0.9166666666666666,0.9565217391304348,0.9994588744588745
19,1.0,0.875,0.9333333333333333,0.9989177489177489
20,0.9,0.75,0.8181818181818182,0.9978354978354979
21,1.0,0.6666666666666666,0.8,0.9972943722943723
22,1.0,0.6666666666666666,0.8,0.9989177489177489
23,1.0,0.8125,0.896551724137931,0.9983766233766234
24,1.0,0.8333333333333334,0.9090909090909091,0.9983766233766234
25,1.0,0.8666666666666667,0.9285714285714286,0.9989177489177489
26,1.0,0.8235294117647058,0.9032258064516129,0.9983766233766234
27,1.0,0.8571428571428571,0.923076923076923,0.9994588744588745
28,0.9230769230769231,0.8,0.8571428571428571,0.9978354978354979
29,1.0,0.8461538461538461,0.9166666666666666,0.9989177489177489
