,precision,recall,f1-score,accuracy
0,0.9,0.8571428571428571,0.8780487804878048,0.9990662931839402
1,1.0,0.84,0.9130434782608696,0.9992530345471522
2,0.96,0.9230769230769231,0.9411764705882353,0.9994397759103641
3,0.9565217391304348,0.8148148148148148,0.8800000000000001,0.9988795518207283
4,1.0,0.9473684210526315,0.972972972972973,0.999813258636788
5,0.9230769230769231,0.8275862068965517,0.8727272727272727,0.9986928104575163
6,1.0,0.8064516129032258,0.8928571428571428,0.9988795518207283
7,0.9666666666666667,0.8787878787878788,0.9206349206349207,0.9990662931839402
8,1.0,0.7575757575757576,0.8620689655172413,0.9985060690943044
9,1.0,0.7727272727272727,0.8717948717948718,0.9990662931839402
10,0.95,0.8260869565217391,0.8837209302325583,0.9990662931839402
11,0.9259259259259259,0.8928571428571429,0.9090909090909091,0.9990662931839402
12,1.0,0.8518518518518519,0.92,0.9992530345471522
13,1.0,0.8928571428571429,0.9433962264150945,0.9994397759103641
14,1.0,0.8709677419354839,0.9310344827586207,0.9992530345471522
15,1.0,0.7037037037037037,0.8260869565217391,0.9985060690943044
16,0.92,0.8214285714285714,0.8679245283018867,0.9986928104575163
17,0.9565217391304348,0.7857142857142857,0.8627450980392156,0.9986928104575163
18,1.0,0.8181818181818182,0.9,0.9988795518207283
19,0.9545454545454546,0.84,0.8936170212765958,0.9990662931839402
20,0.92,0.8518518518518519,0.8846153846153846,0.9988795518207283
21,0.85,0.85,0.85,0.9988795518207283
22,1.0,0.9696969696969697,0.9846153846153847,0.999813258636788
23,0.9615384615384616,0.9259259259259259,0.9433962264150944,0.9994397759103641
24,0.9615384615384616,0.9259259259259259,0.9433962264150944,0.9994397759103641
25,0.9523809523809523,0.7692307692307693,0.8510638297872339,0.9986928104575163
26,1.0,0.8285714285714286,0.90625,0.9988795518207283
27,0.9130434782608695,0.9545454545454546,0.9333333333333332,0.9994397759103641
28,0.96875,0.8857142857142857,0.9253731343283582,0.9990662931839402
29,0.9565217391304348,0.7586206896551724,0.8461538461538461,0.9985060690943044
